date,lab_tested,lab_tested_new,confirmed,confirmed_new,inpatient,inpatient_new,ICU,ICU_new,recovered,recovered_new,death,death_new
2020-01-31,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2020-02-01,2,1,0,0,0,0,0,0,0,0,0,0
2020-02-04,3,1,0,0,0,0,0,0,0,0,0,0
2020-02-05,4,1,0,0,0,0,0,0,0,0,0,0
2020-02-10,6,2,0,0,0,0,0,0,0,0,0,0
2020-02-14,7,1,0,0,0,0,0,0,0,0,0,0
2020-02-16,9,2,0,0,0,0,0,0,0,0,0,0
2020-02-17,11,2,0,0,0,0,0,0,0,0,0,0
2020-02-18,12,1,0,0,0,0,0,0,0,0,0,0
2020-02-20,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,13,1,0,0,0,0,0,0,0,0,0,0
2020-02-24,16,3,0,0,0,0,0,0,0,0,0,0
2020-02-25,19,3,0,0,0,0,0,0,0,0,0,0
2020-02-26,25,6,0,0,0,0,0,0,0,0,0,0
2020-02-27,51,26,0,0,0,0,0,0,0,0,0,0
2020-02-28,59,8,0,0,0,0,0,0,0,0,0,0
2020-02-29,70,11,0,0,0,0,0,0,0,0,0,0
2020-03-01,85,15,0,0,0,0,0,0,0,0,0,0
2020-03-02,85,0,2,2,2,2,0,0,0,0,0,0
2020-03-03,101,16,4,2,4,2,0,0,0,0,0,0
2020-03-04,117,16,6,2,6,2,0,0,0,0,0,0
2020-03-05,147,30,9,3,9,3,0,0,0,0,0,0
2020-03-06,181,34,13,4,13,4,0,0,0,0,0,0
2020-03-07,224,43,21,8,21,8,0,0,0,0,0,0
2020-03-08,281,57,30,9,30,9,0,0,0,0,0,0
2020-03-09,339,58,39,9,38,8,0,0,0,0,0,0
2020-03-10,375,36,41,2,40,2,0,0,0,0,0,0
2020-03-11,471,96,59,18,57,17,0,0,0,0,0,0
2020-03-12,637,166,78,19,69,12,0,0,0,0,0,0
2020-03-13,1308,671,112,34,107,38,0,0,1,1,0,0
2020-03-14,1704,396,169,57,114,7,10,10,2,1,0,0
2020-03-15,2271,567,245,76,139,25,9,-1,2,0,0,0
2020-03-16,2908,637,331,86,139,0,18,9,3,1,1,1
2020-03-17,4030,1122,448,117,206,67,17,-1,3,0,1,0
2020-03-18,5067,1037,642,194,89,-117,20,3,3,0,2,1
2020-03-19,6061,994,785,143,89,0,20,0,3,0,3,1
2020-03-20,7732,1671,1020,235,126,37,26,6,5,2,6,3
2020-03-21,9854,2122,1280,260,156,30,35,9,5,0,12,6
2020-03-22,11779,1925,1600,320,169,13,41,6,5,0,14,2
2020-03-23,13674,1895,2060,460,201,32,47,6,14,9,23,9
